Job Name,Company,Rating,Location,Salary,Description,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark_yn,aws_yn,excel_yn
Data Scientist I,University of Southern Mississippi,4.1,"Gulfport, MS",Employer Provided Salary:$48K - $57K,"This is entry level, data scientist work with the responsibility for developing and implementing a diverse range of statistical, mathematical standards, computer programming, operations research, diagnostic methods, and techniques, to interpret data. Work is performed using independent judgement under the limited supervision of a higher-level scientist or an administrative or technical supervisor. Work is planned, reviewed, and evaluated in conferences with supervisor. This position is located at the Marine Research Center, in Gulfport MS and is part of the USM Roger F. Wicker Center for Ocean Enterprise. The Center works with industry, state and federal government and academic partners for research, development, testing and evaluation of ocean sensing buoys as well as uncrewed surface and subsurface marine vehicles including but not limited to platform, payload, command and control systems, power system and data integration/analysis.",-1,1001 to 5000 Employees,1910,College / University,Colleges & Universities,Education,$100 to $500 million (USD),-1,0,1,48.0,57.0,52.5,MS,113,0,0,0,1,0
"Data Scientist, Global Mile",Amazon.com Services LLC,3.8,"Bellevue, WA",Employer Provided Salary:$112K,"2+ years of data scientist experience
3+ years of data querying languages (e.g. SQL), scripting languages (e.g. Python) or statistical/mathematical software (e.g. R, SAS, Matlab, etc.) experience
3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience
Experience applying theoretical models in an applied environment
Amazon is seeking a motivated candidate to provide insights into opportunities for operational improvement through analytics. Role will require analysis, understanding of the systems workflow, cross-functional communication and issues management.

The successful candidate is passionate about optimizing business processes and performance metrics, and takes a driven approach to identifying and prioritizing the most impactful efforts. This role will also build tools and support structures needed to analyze, dive deep to determine root cause of system errors, network changes and performance issues. This role will need to present findings to business partners to drive improvements and prioritize customer needs to deliver the right results.

Key job responsibilities
We are open to hiring candidates to work out of one of the following locations:

Bellevue, WA, USA

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.

Our compensation reflects the cost of labor across several US geographic markets. The base pay for this position ranges from $111,600/year in our lowest geographic market up to $212,800/year in our highest geographic market. Pay is based on a number of factors including market location and may vary depending on job-related knowledge, skills, and experience. Amazon is a total compensation company. Dependent on the position offered, equity, sign-on payments, and other forms of compensation may be provided as part of a total compensation package, in addition to a full range of medical, financial, and/or other benefits. For more information, please visit https://www.aboutamazon.com/workplace/employee-benefits. Applicants should apply via our internal or external career site.",-1,10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1,0,1,112.0,0.0,112.0,WA,29,1,0,0,1,0
Data Scientist,Henry Ford Health,3.7,"Southfield, MI",$84K - $123K (Glassdoor est.),"Responsible for working with business users to fully understand their needs for data science solutions; work with a variety of data sources, both internal and external, as well as structured and unstructured formats, to build analytic models utilizing machine learning techniques; perform deep dive analytics, ad hoc reporting, report automation, fee schedule processing, and dashboard creation/maintenance; partner with the IT group to ensure that the data is sourced from the right location for data science model building; develop ETL pipelines for model training, evaluation and deployment; develop and code data science programs, algorithms, and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; interact with data engineers, business analysts and others to ensure data solutions address full needs; leverage appropriate data science techniques to drive the creation of insights from data; combine data extraction, preparation, and data cleansing with model training and evaluation using Pandas and Alteryx; develop and code data science programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources; use GitHub and similar version control system to maintain source code; interpret and communicate insights and findings from analysis and experiments for a multi-department audience using Data Visualization tools including Power BI and Tableau; utilize MS Access, MS Excel, T-SQL, Oracle SQL, Python, R, healthcare data analytics, quantitative statistical analysis, baseline/trend analysis, qualitative statistical analysis and health economics to perform duties; access data from internal databases and sources, including warehoused and pre-modeled data; server as the Tableau Subject Matter Expert (SME); accountable for the development and production support of interactive data visualizations; perform Tableau server administration for users and user groups; refresh scheduling via Server and TSC; develop dynamic websites with Microsoft SharePoint, as well as automatic registration systems with Microsoft Powerplatformp; use advanced knowledge of data warehousing and data mining principles including DataMart design, fact tables, dimension tables, data views and star schema to complete assigned tasks; stay current on data science and analytics tools, techniques, and practices; and work in an Agile/Scrum environment to write clean, reliable, and testable code that supports rapid delivery via CICD and automated deployments.",-1,10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),-1,0,0,84.0,123.0,103.5,MI,108,1,0,0,1,1
Data Science Analyst - Platform - Remote,Mayo Clinic,3.9,"Rochester, MN",Employer Provided Salary:$95K - $134K,"Why Mayo Clinic

Mayo Clinic has been ranked the #1 hospital in the nation by U.S. News & World Report, as well as #1 in more specialties than any other care provider. As we work together to put the needs of the patient first, we are also dedicated to our employees, investing in competitive compensation and comprehensive benefit plans – to take care of you and your family, now and in the future. And with continuing education and advancement opportunities at every turn, you can build a long, successful career with Mayo Clinic. You’ll thrive in an environment that supports innovation, is committed to ending racism and supporting diversity, equity and inclusion, and provides the resources you need to succeed.


Responsibilities










Exempt



$95,492 - $133,681 / year



Yes



Full Time



80



Monday - Friday, Normal Business Hours 100% Remote. This position may work remotely from any location within the US. Some travel may be required This vacancy is not eligible for sponsorship/ we will not sponsor or transfer visas for this position.



Not Applicable



No










Julie Melton



Mayo Clinic Platform",-1,10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),-1,0,1,95.0,134.0,114.5,MN,-1,0,0,0,1,0
"Data Scientist, Venmo",Venmo,3.3,"San Jose, CA",Employer Provided Salary:$73K - $176K,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Data Scientist for Venmo Analytics team who is very strong at generating valuable insights from data through deep dive analysis, experienced at supporting new product launches by establishing test and control plans and ensuring constant monitoring is in place to track product performance.
Job Description:
About You


PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $72700 to $176000",-1,51 to 200 Employees,2009,Company - Public,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable,-1,0,1,73.0,176.0,124.5,CA,14,0,0,0,1,0
Sr Data Instrumentation Scientist,Disney,3.9,"Santa Monica, CA",Employer Provided Salary:$136K - $182K,"Sr Data Instrumentation Scientist
Job ID
10052288
Location
Santa Monica, California, United States / New York, New York, United States / Seattle, Washington, United States
Business
Disney Media & Entertainment Distribution
Date posted
Jun. 16, 2023
Job Summary:",-1,10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),-1,0,1,136.0,182.0,159.0,CA,100,0,0,0,1,0
Data Scientist,Unity Technologies Corporation,4.3,"Jacksonville, NC",Employer Provided Salary:$76K - $121K,"MCAS New River Marine Corps Installations execute a number of installation service functions contributing to and ensuring the readiness and welfare of Marines. The Air Station readiness assessment process involves data collection and evaluation concerning the criticality of Air Station functional capabilities, resources, manpower and infrastructure based on tenant mission requirements to determine the overall readiness posture of Air Station’s operations.
Duties:
- Develop and implement data models, algorithms, and statistical techniques to analyze large datasets
-Develop models and simulations for additional Air Station services and functions",-1,1 to 50 Employees,-1,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,0,1,76.0,121.0,98.5,NC,-1,0,0,0,1,0
Data Scientist - Hybrid,Holland America Line,3.9,"Seattle, WA",Employer Provided Salary:$106K - $143K,"Job Description

Welcome to Holland America Line, a premium cruise line dedicated to explorers, foodies and music lovers who want to explore the world on perfectly sized, refreshingly spacious ships filled with one-of-a-kind experiences.
We’re looking for an amazing Data Scientist to fill this role, which is based in our Seattle office. You’ll be responsible for focusing on using your data science skills to conceive and develop new opportunities to optimize revenue and enhance understanding and decision making within our business. You will work closely with business end users to help interpret models, assess unique business cases, and incorporate feedback between the business and the RMS. You will work closely with our fuel and deployment teams to optimize operational decision making with data science, as well as also be involved in other key projects that help us better understand our guest behaviors and preferences, allowing us to maximize revenue and guest experience by providing the right cruise experience to the right guest for the right price.",-1,1001 to 5000 Employees,1873,Subsidiary or Business Segment,Travel Agencies,Hotels & Travel Accommodation,$100 to $500 million (USD),-1,0,1,106.0,143.0,124.5,WA,150,0,0,0,1,0
Jr Data Scientist,Veracity Software,3.9,"Iselin, NJ",$76K - $105K (Glassdoor est.),"Job Description :
Data Scientist will join a team responsible for developing advanced analytics products.
Applying data visualization and statistical programming tools to enterprise data to advance and enable the key mission outcomes.
In this role, you will support all phases of analytic work product development, from the identification of key business questions, through data collection, from performing analyses and using a wide range of statistical, machine learning, and applied mathematical techniques to delivery insights to decision-makers.
Experience : 1 – 2 Years
Mandatory Skills And Qualifications :",-1,51 to 200 Employees,2010,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,0,76.0,105.0,90.5,NJ,13,0,0,0,1,0
Data Scientist,Northeastern University,4.2,"Boston, MA",$111K - $158K (Glassdoor est.),"About the Opportunity
About the Institute:

Do you want to be part of an exciting new Institute focused on the fusion of human and machine intelligence into working AI solutions?

We are launching a pioneering research and innovation hub in AI—one that will shape the way humans and machines collaborate. Led by Dr. Usama Fayyad, the Institute for Experiential AI (IEAI) is built around the challenges and opportunities made possible by human-machine collaboration. The institute provides a framework to design, implement, and scale AI-driven technologies in ways that make a true difference to society. Our ability to respond to the opportunities afforded to society will depend on training and building a workforce that is AI-capable. Located in Portland, Maine, with the goal of growing the Maine tech economy, the Roux Institute will be a center of activity for the Institute’s efforts.

Founded in 1898, Northeastern is a global research university and the recognized leader in experience-driven lifelong learning. Our world-renowned experiential approach empowers our students, faculty, alumni, and partners to create impact far beyond the confines of discipline, degree, and campus.

This role collaborates with researchers and data scientists from various fields including Applied Analytics, Bioinformatics, Biotechnology, Computer Science, Cybersecurity, Genomics, Health Data Analytics, Law & ethics, Neuroscience and Therapeutics discovery. General research and interpersonal skills are especially valued. We are building a new team together to deliver the true promise of AI, which lies at the intersection of humans and intelligent machines

The Culture:















Research",-1,1001 to 5000 Employees,1898,College / University,Colleges & Universities,Education,$100 to $500 million (USD),-1,0,0,111.0,158.0,134.5,MA,125,0,0,0,1,0
Humanities Data Scientist,US National Endowment for the Humanities,3.5,"Washington, DC",Employer Provided Salary:$112K - $172K,"Duties
The position provides high-order conceptual, analytical, technical, and reporting skills to support ODE's mission. The Incumbent is responsible for extracting, integrating, cleaning, and analyzing large, complex administrative datasets, including the Agency's Electronic Grants Management System (eGMS), to produce narrative and statistical reports, dashboards, tables, charts, and other data visualizations that describe the Agency's program activity and communicate its impact and effectiveness to senior staff, other Agency offices and divisions, or external stakeholders.""

Duties goes as follows:
Reporting on and evaluating NEH activities against agency impact, equity, performance, and other goals.",-1,1 to 50 Employees,-1,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$1 to $5 million (USD),-1,0,1,112.0,172.0,142.0,DC,-1,0,0,0,1,0
Sr Data Scientist,Market America Inc,3.1,"Monterey, CA",$125K - $179K (Glassdoor est.),"Market America Worldwide – Shop.com, a global e-commerce and digital marketing company that specializes in one-to-one marketing, is seeking a top-notch Senior Data Scientist to join our team. Remote opportunity can be available to candidates based in states of CA, NC, FL, NY, CT, or WI.

Position Summary

As Data Scientist you will have an important role in helping millions of customers on our SHOP.COM and Market America Worldwide multi-country and multi-language global eCommerce websites.

We are seeking an experienced data scientist that could help in doing statistical analysis of a/b tests, build machine learning ranking models for search result ranking and personalized recommendations, build models for category classifiers in predicting categories for a product or search keyword, fine tune some of the out of box models such as word2vec or Bert, text embedding, customer segmentations models, and help support various business decision making processes.

If you are passionate about Machine Learning / Artificial Intelligence, this is a highly visible role that will provide you the opportunity to make a huge impact in our business and a difference to millions of customers worldwide.

Job Duties and Responsibilities

Work through all phases of development including data analysis, model prototyping, model evaluation (offline / online), training data set, automation, and maintenance

Collaborate with other teams including search and data engineering, web and marketing analysts, data analysts, project managers, systems team, and other contractors/consultants

Write code in Python / R using various statistical techniques and machine learning models, maintain all the code in repository such as Git / Bitbucket

Develop visualization of data with tools such as Jupyter notebooks and integrations with Tableau

A/B test evaluation, share the findings with the team. Ability to communicate summarized results to technical and non-technical stakeholders to help them make decisions.

Work with search engineers and data engineers in integrating ML models, analytics pipeline, work with ML Engineers/Data Engineers in deploying models to production, participate in MLOps processes

Work with stakeholders throughout the organization to identify opportunities for leveraging machine learning techniques across other business verticals

Mentor junior team members, define architecture, code review, hands-on development and deliver the work in sprint cycle

Take complete ownership from requirements, solution design, development, production launch and post launch production support. Participate in code reviews and regular on-call rotations.

Desire to learn ML best practices, participate in other forums / conferences, and continue to bring latest trends in Machine Learning / Artificial Intelligence

Education and Experience

BS / Masters / PhD in Computer Science (or related field) with 5+ years of hands-on experience in statistical and machine learning algorithms on real world problems

Experience in using ML friendly tech stack, PyTorch, Tensorflow, scikit-learn, pandas, Python / R, deep learning frameworks, comfortable with database SQL queries, AWS Athena, BigQuery and Google Analytics tagging/integration, ML models for information retrieval algorithms, transformers/encoders, ANN/KNN search

Hands-on industry experience in building real time ranking and recommendations models, text embedding, neural networks, deep learning, and other NLP techniques for search query understanding

Strong programming skills, statistical techniques, clustering techniques, predictive modeling, AI/ML/NLP, architecture diagramming, problem-solving and debugging skills

A team player, willingness to learn new technologies, phenomenal communication and influencing skills

Nice to have

Prior industry experience in e-Commerce domain

Experience in deploying ML models to production, familiarity with MLOps

Experience in utilizing ML platforms such as Amazon SageMaker, AWS Lambda or others

Experience in performing vector search, image search / visual search

Familiarity in using search engines like Elasticsearch or other vector search engines

Market America offers competitive salary and generous benefits, including health, dental, vision, life, short and long-term disability insurance, and a 401(k) retirement plan with company match.

Qualified candidates should apply online. This position will work remotely based from our California offices.

Market America is proud to be an equal opportunity employer.

Market America | SHOP.COM is changing the way people shop and changing the economic paradigm so anyone can become financially independent by creating their own economy and converting their spending into earning with the Shopping Annuity®.

ABOUT MARKET AMERICA, INC. & SHOP.COM

Market America Worldwide | SHOP.COM is a global e-commerce and digital marketing company that specializes in one-to-one marketing and is the creator of the Shopping Annuity . Its mission is to provide a robust business system for entrepreneurs, while providing consumers a better way to shop. Headquartered in Greensboro, North Carolina, and with eight sites around the globe, including the U.S., Market America Worldwide was founded in 1992 by Founder, Chairman & CEO JR Ridinger. Through the company's primary, award-winning shopping website, SHOP.COM, consumers have access to millions of products, including Market America Worldwide exclusive brands and thousands of top retail brands. Further, SHOP.COM ranks 19th in Newsweek magazine's 2021 Best Online Shops, No. 52 in Digital Commerce 360's (formerly Internet Retailer) 2021 Top 1,000 Online Marketplaces, No. 79 in Digital Commerce 360's 2021 Top 1,000 Online Retailers and No. 11 in the 2021 Digital Commerce 360 Primary Merchandise Category Top 500. The company is also a two-time winner of the Better Business Bureau's Torch Award for Marketplace Ethics and was ranked No. 15 in The Business North Carolina Top 125 Private Companies for 2021. By combining Market America Worldwide's entrepreneurial business model with SHOP.COM's powerful comparative shopping engine, Cashback program, Hot Deals, ShopBuddy®, Express Pay checkout, social shopping integration and countless other features, the company has become the ultimate online shopping destination.

MarketAmerica.com

SHOP.COM",-1,501 to 1000 Employees,1992,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$100 to $500 million (USD),-1,0,0,125.0,179.0,152.0,CA,31,1,0,0,1,0
Data Scientist,Toyota,3.9,"Plano, TX",$95K - $130K (Glassdoor est.),"Overview
Who we are
At Toyota, we are reimagining mobility through innovative, high-quality technology solutions designed to enhance lives and meet our company mission of “Producing Happiness for All.” If you are interested in reimagining mobility with us in an inclusive environment built on teamwork that puts respect for people first, we want to talk to you.
This position is based in Plano, TX
Toyota encourages all employees to live within a reasonable commuting distance of their assigned work location. Hybrid work from outside of the assigned work location may be permitted in a pre-approved list of states (AZ, CA, CO, GA, IL, IN, KY, MA, MI, MO, NJ, NY, OH, OR, TN, TX, VA, WV) with certain stipulations.",-1,10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),-1,0,0,95.0,130.0,112.5,TX,66,0,0,0,1,0
Data Scientist,Procal Technologies,3.8,Remote,Employer Provided Salary:$80K,"$80k USD/year
Remote
Fulltime
Brief Overview:
Performs duties related to data mining, machine learning, statistical modeling, and analytics to build algorithms that will result in massive improvements to the way Aaron’s does business. Responsible for developing and improving key decision systems and predictive models to drive maximum business impact.
Key Responsibilities:",-1,Unknown,-1,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,0,1,80.0,0.0,80.0,Remote,-1,0,0,0,1,0
Data Scientist - 300269,Grainger,4.1,"Lake Forest, IL",$93K - $125K (Glassdoor est.),"W.W. Grainger, Inc. is seeking a Data Scientist in Lake Forest, IL with the following requirements: Master’s degree in Statistics, Mathematics, Data Science, Computer Science or related field plus 1 year related experience. Prior experience must include: Analyze and interpret statistical data in the form of data visualization and statistic calculation, translate numerical findings into actionable insights and implementable solutions; Design and conduct experiments, collect the data to measure results and test hypotheses, create inferences and recommendations; Design, implement, and validate statistical and machine learning models like regression, decision trees, clustering, and time series modeling; Utilize statistical computer languages in SQL, Python, R, IBM SPSS Statistics, and MS Office; Present clear and concise results to business partners to adopt and implement analytical recommendations. Up to 20% remote work allowed.

Please submit resume to https://jobs.grainger.com/, reference job #300269",-1,10000+ Employees,1927,Company - Public,Wholesale,Retail & Wholesale,$10+ billion (USD),-1,0,0,93.0,125.0,109.0,IL,96,1,0,0,1,0
Junior Data Scientist,Augray,3.9,"Brookfield, WI",Employer Provided Salary:$55K - $60K,"Brookfield, WI, USA
Summary:
Hiring Fresher to 1 year experience in Data Science, ML with python and strong analytical skills with a passion to take part in R&D.
About AugRay:
Augray is on a mission to build next generation method of communication using Extended Reality – XR (AR/ VR/ MR) technologies and change the way businesses re conducted and how interactions happen with people. In an age where innovation is happening all around us, there’s commonality – people are driving these changes. We offer a solution that helps to articulate product demonstration and how people conversation takes place using smartphones and wearable glasses.",-1,51 to 200 Employees,2014,Subsidiary or Business Segment,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1,0,1,55.0,60.0,57.5,WI,9,1,0,0,1,0
Data Scientist (L6) - Ads,Netflix,4.3,"Los Angeles, CA",$104K - $181K (Glassdoor est.),"Los Angeles, California
Advertising
At Netflix, we seek to entertain the world. We have more than 200 million members in 190 countries, reflecting that great stories can come from anywhere and be loved everywhere.

In Nov 2022, we launched a new lower-priced, ad-supported tier for our customers. We are now continuing to build on our goal of providing more choice for consumers and a premium, better-than-linear TV brand experience for advertisers. That said, we are looking for the founding members of this new business area for Netflix!

The Ads Data Science and Engineering team at Netflix’s mission is to help build the foundation of the ads business at Netflix. We conduct analyses and develop analytic tools, build predictive models and algorithms using machine learning, all with the goal of creating more choices and joy for our members. You’ll work closely with partner teams to build workflows, provide recommendations and drive success on end-to-end analytics initiatives in this 0 -1 space.",-1,5001 to 10000 Employees,1997,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),-1,0,0,104.0,181.0,142.5,CA,26,0,0,0,1,0
Data Scientist,NutaNXT Technologies,4.8,"Santa Clara, CA",$108K - $149K (Glassdoor est.),"Job Description
As a Data Scientist, you will help healthcare run efficiently through AI models that improve the distribution and manufacturing of healthcare products. You will understand key problems faced by business partners across the business, and ask good questions. You will brainstorm possible statistical solutions with help from Senior Data Scientists. You will own AI experiments, failing fast and pivot to the right solution. Finally, you will operationalize models with help from Senior Machine Learning Engineers.
Responsibilities
Extract data from multiple data sources like Microsoft SQL Server, Oracle, Azure Blob, and Azure SQL using SQL or Python",-1,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0,0,108.0,149.0,128.5,CA,-1,1,0,0,1,0
Data Scientist I,VirginPulse,3.4,Remote,Employer Provided Salary:$95K,"Overview:
Join Virgin Pulse Today!

Virgin Pulse is the #1 health and wellbeing navigation platform. Our mission is to change lives for good. We empower 14 million users to get and stay healthy every day by making better choices.

We are looking for a Data Scientist I to join our team who embodies our values: People Matter, We Deliver, One Team One Dream, and Grow Forward. By joining us, you will gain access to health and wellbeing resources, an inclusive global network of nearly 2,000 employees, learning development opportunities, and more.
Responsibilities:
Position Summary

The Data Scientist supports the organization's efforts to drive personalization and targeted intervention through solid statistical and modeling skill set. A successful candidate will have a desire for continuous learning and strong interpersonal relationship skills.
Qualifications:",-1,501 to 1000 Employees,2004,Company - Private,Computer Hardware Development,Information Technology,$100 to $500 million (USD),-1,0,1,95.0,0.0,95.0,Remote,19,0,0,0,1,0
Data Scientist,OneMagnify,4.4,"Detroit, MI",$102K - $141K (Glassdoor est.),"OneMagnify is a one-of-a-kind combination of technology, creative, strategy, data, analytics, and a wide range of marketing services that cut across multiple practice and solution areas to deliver a whole that is truly greater than the sum of its parts. Today’s sophisticated business and marketing landscape requires a fresh, vigilant, and more connected approach to human communications – and we get it.
We’re always looking for diverse, passionate, and skilled candidates to join our award-winning work environments. Our offices have been rated Top, Best, and Coolest places to work by numerous sources for multiple years in a row dating back to 2010. In fact, we were recently rated one of the Best and Brightest companies to work for in the nation. Apply today. Show us what you can do. You might be exactly who we need.
We are looking for a client facing Data Scientist who is excited to create exceptional client partnerships. This role is perfect for a creative problem solver with a vision of how to harness the power of data to help clients make informed decisions.
About You:",-1,201 to 500 Employees,1967,Company - Private,Advertising & Public Relations,Media & Communication,Unknown / Non-Applicable,-1,0,0,102.0,141.0,121.5,MI,56,0,0,0,1,0
Data Scientist,Parsons,3.9,Remote,Employer Provided Salary:$24.18 - $42.31 Per Hour,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!
When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.
Job Description:
Parsons is seeking a Data Scientist to support our efforts in advancing public health analytics and modeling. The successful candidate will have a strong background in data science, excellent communication skills, and experience working with diverse stakeholders in public health, academia, and the private sector. As a Data Scientist, you will play a critical role in expanding awareness, training, and sharing of best practices related to outbreak analytics and modeling, ultimately contributing to improved public health outcomes.


Not Applicable/None
This position is part of our Federal Solutions team.
Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.
$24.18 - $42.31
We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!
Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.
We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!",-1,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),-1,1,1,24.18,42.31,33.245000000000005,Remote,79,0,0,0,1,1
Associate Data Scientist,Tencent,4.0,"Palo Alto, CA",Employer Provided Salary:$65K - $131K,"Work Mode:
Onsite
Responsibilities:
About Tencent
Tencent is a world-leading internet and technology company that develops innovative products and services to improve the quality of life of people around the world. Founded in 1998 with its headquarters in Shenzhen China, our guiding principle is to use technology for good.
We are not only a major video game publisher in the world, we also produce other high-quality digital content, enriching interactive entertainment experiences for people around the globe. We offer a range of services such as cloud computing, advertising, FinTech, and other enterprise services to support our clients' digital transformation and business growth.
About IEG






California
The base pay range for this position in the state(s) above is $65,450 to $130,900 per year. Actual pay is based on market location and may vary depending on job-related knowledge, skills, and experience. A sign on payment, relocation package, and restricted stock units may be provided as part of the compensation package, as well as other medical, financial, and/or other benefits, dependent on the specific position offered.",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable,-1,0,1,65.0,131.0,98.0,CA,25,0,0,0,1,0
Junior Data Scientist,Choice Fitness,3.3,"Atlanta, GA",$71K - $102K (Glassdoor est.),"As a Junior Data Scientist, you will help support the Senior Data Scientist in analysis and research, and machine learning modeling that is underpinning new and current products. Additionally, the Junior Data Scientist will support the Data Engineer in building new data pipelines including new ETL functions.

Minimum Qualifications

Bachelors degree in STEM field using applied statistics and/or machine learning with two plus years of experience.

Strong statistical and mathematical skills: You should have a strong understanding of statistical concepts such as probability theory, hypothesis testing, regression analysis, and machine learning algorithms.

You should be proficient in at least one programming language, such as Python or R. You should also be familiar with SQL for data querying and manipulation.

You should be able to clean, manipulate, and transform data using tools like pandas and numpy in Python or tidyverse in R. You should also be able to create effective data visualizations using libraries such as Matplotlib or ggplot2.

You should have a basic understanding of machine learning algorithms such as linear regression, logistic regression, decision trees, and clustering techniques.

You should have excellent communication skills, including the ability to clearly explain complex technical concepts to non-technical stakeholders.

The ability to work collaboratively with other team members, including data engineers, data analysts, and business stakeholders, can be beneficial for you in delivering successful projects.

You should be able to identify and solve complex problems, often with incomplete or imperfect data.

You should have excellent attention to detail, ensuring that your data analysis is accurate and error-free.

You should be willing to learn new skills and keep up with the latest industry trends and developments.

Nice-to-have skills and Experience

Experience with AGILE/SCRUM/JIRA.

Experience with the AWS cloud platform.

Understanding of deep learning algorithms.

Having domain expertise in criminal justice, crime analysis and/or risk calculation.

Knowledge of data ethics and privacy.

Project management skills scoping, planning, and executing.",-1,Unknown,-1,Company - Public,Beauty & Wellness,Personal Consumer Services,Unknown / Non-Applicable,-1,0,0,71.0,102.0,86.5,GA,-1,1,0,0,1,1
"Scientist, Data I",ABBVIE,3.9,"Crystal Lake, IL",$67K - $92K (Glassdoor est.),"AbbVie’s Operations Business Insights (OBI) group is continuously innovating to transform AbbVie operations organization to enable the use of data and analytics to drive world-class innovation, performance, and agility across many functional areas.
We are looking for an Associate Data Scientist with entry-level experience in Software Engineering and Data Engineering who aspire to further advance in Data Science skills.
The Associate Data Scientist will assist in bringing machine learning solutions to life by translating business requirements into deployable applications, using complex SQL queries for data query and writing efficient R/Python codes.

Responsibilities:",-1,10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),-1,0,0,67.0,92.0,79.5,IL,10,1,0,0,1,0
Data Scientist,PayPal,3.9,"San Jose, CA",Employer Provided Salary:$61K - $147K,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: We are seeking an exceptional data scientist with a passion for data insights and relentless focus on execution: • You are curious and inquisitive: love digging into data and uncovering insights • You are hyper-analytical and intellectually honest, truly believing in data-driven decisions and communicating your ideas through storytelling • You are a highly motivated, result-oriented self-starter, enjoy working in a fast-paced environment, and can deliver successful results with minimal guidance
Job Description:
PayPal is committed to fair and equitable compensation practices.

Actual Compensation is based on various factors including but not limited to work location, and relevant skills and experience.

The total compensation for this practice may include an annual performance bonus (or other incentive compensation, as applicable), equity, and medical, dental, vision, and other benefits. For more information, visit https://www.paypalbenefits.com.

The U.S. national annual pay range for this role is $60900 to $147400",-1,10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1,0,1,61.0,147.0,104.0,CA,25,0,0,0,1,0
